brand,discounted_price,product_name,retail_price,uniq_id
Vishudh,449,Vishudh Printed Women's Straight Kurta,899,5614ccefd0ab9bee5cd28bf3d38fd12f
MASARA,599,MASARA Solid Women's Straight Kurta,1399,aff8be089d14317011f1cc3eba810b6d
MASARA,550,MASARA Solid Women's Straight Kurta,1399,b75e9fbc54e49dcee551709bd63e243c
Roadster,699,Roadster Men's Zipper Solid Cardigan,1399,d620fa0d35825bb3c0717e9d3446cc97
Vishudh,499,Vishudh Printed Women's Straight Kurta,999,ee383a337af67ae8ad4f42714d67ddaf
Noor,849,Noor Embroidered Women's Straight Kurta,1649,97b8a04ee0c6f158ed18a99cfc2bd6ed
MASARA,599,MASARA Solid Women's Straight Kurta,1399,154968876a45c0e99d35b5d57290d0b3
Vishudh,449,Vishudh Printed Women's Straight Kurta,899,0305111c779fe663bd94122bef0f0002
Libas,449,Libas Printed Women's A-line Kurta,899,80993e88a0224c71617e37dcd1e17745
Libas,924,Libas Printed Women's Anarkali Kurta,1849,f3ff4d066fa5290970f46762caa5c73a
MASARA,499,MASARA Solid Women's Straight Kurta,999,fabe2ce4a6b7510fa1bac6922156ab7b
HRS,395,HRS ULTIMATE BOY Chest Pads,440,9ec7cf78ff9e728bf1d7eb6609f42188
Vermello,795,Vermello Men Casual Brown Genuine Leather Belt,1495,7a7e587d3344885bdb8c77f8b7679483
HRS,250,HRS CLUB BOY Thigh Pads,280,c497e4250ea07a8a87efa8fda01ae6e0
Ligans NY,695,Ligans NY Men Formal Black Genuine Leather Belt,795,7db2acfee8298ef8c687d688147c69be
Elegance,899,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899,55b85ea15a1536d46b7190ad6fff8ce7
Liza,1393,Liza Women Wedges,1990,8beb2187f33659971647812d8f95af73
HRS,230,HRS ULTIMATE BOY Elbow Pads,250,08cb8617f5aacbe98024867f509f6bbc
Sathiyas,449,Sathiyas Cotton Bath Towel,600,7b72c92c2f6c40268628ec5f14c6d590
HRS,395,HRS ULTIMATE MEN Chest Pads,440,ae2934c35fd4b0469d507c0b50374ef1
Eurospa,550,Eurospa Cotton Terry Face Towel Set,1040,64d5d4a258243731dc7bbb1eef49ad74
SANTOSH ROYAL FASHION,1299,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699,d4684dcdc759dd9cdf41504698d737d8
CASEDEAL,380,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999,1b2c6d2ef16b8b391aa0221ebd673ce3
Mario Gotze,899,Mario Gotze Women's Printed Casual Orange Shirt,1499,b129a98c7c0e905ca82fd73db63d9bd0
Jaipur Print,698,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,6325b6870c54cd47be6ebfbffa620ec7
Shilpi,650,Shilpi NHSCN003 Coin Bank,900,b51acbb3e292152a131cde140e0c376a
Jaipur Print,698,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,c3f924e0e4c823c62d58de0c17ba86d6
Babeezworld,499,Babeezworld Dungaree Baby Boy's  Combo,999,38cc9b40b62bef29b49e3c6b501b9dba
Redbag,1200,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600,a99bd685c5430bdf45a1dd01aabc3200
Proence,949,"Proence Weight Gainers, Mass Gainers",1025,e98fed4f44ec6c5f185a80f8cdd898bb
Slim,590,Discountgod Men's Checkered Casual Shirt,750,05324708277dbf2f3e8b55a660e91988
Slim,599,Silver Streak Men's Printed Casual Denim Shirt,1299,9b9dc9b2609d1ee4f5196221eca22eb7
Cobra,15195,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995,a62b34aa0564cbf03b0132773eab9354
TEN,1995,TEN TEN Women's Black Knee Length Boots Boots,4995,45df3406c4f1301e479c58716c912841
Aries,13099,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699,7698cd2c78a1fd6105ef617445da52f9
Carlton,1223,Carlton Boots,3495,2b480f41409d22cb3ba9f71a0242cf1a
Maserati,24400,Maserati Time R8851116001 Analog Watch  - For Boys,24400,893aa5ed55f7cff2eccea7758d7a86bd
Vizion,595,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095,e52f90f908db98de5f78645ccf03024c
Camerii,449,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099,f355cc1ccb08bd0d283ed979b7ee7515
Slim,2599,Reckler Slim Fit Men's Jeans,5398,f80ba21b9e77fe3a4d0e944f86305f8d
Quechua,2250,Quechua Arpenaz Novadry Boots,2499,41aa2d73a19f0c3438b3c77134696830
Colat,849,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999,c0824c9e7ee6b79006ce698a2a7a413c
Steppings,719,Steppings Trendy Boots,1799,15f03b13b010db0a355ae094fddc9e86
Rochees,1202,Rochees RW38 Analog Watch  - For Boys,1415,0c7a6176e932cc20399a890433186ab5
Rorlig,399,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099,0aa9c84298f0b956cb879d87ff728bf8
Catwalk,999,Catwalk Boots,2095,a66b8f58ac663190586f5c1a9745e56f
Magnum,2099,Magnum Footwear Lifestyle,3999,cf59d4e4b6583f4c4bc32c385d7952d1
T,399,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999,dd0e3470a7e6ed76fd69c2da27721041
Rialto,2795,Rialto Boots,3295,588d8f7647d36f6e1c162984f2cd9676
Kielz,1249,Kielz Ladies Boots,2499,72c4f4745fbaeb32f8c82a6ce013309d
Alfajr,4995,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495,41384da51732c0b4df3de8f395714fbb
La,2299,La Briza Ashley Boots,2299,dff9da1046a392d71cca8bfb3e1f647e
TAG,107750,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750,710ed5f2393a4b9e8823aa0029f71f93
Salt,3146,Salt N Pepper 13-019 Femme Black Boots Boots,4195,d6eb521acd9de24c5c3faded2831620a
